               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  85,            0.025599,            0.016623,           0.0066638,             0.80216,             0.68242,             0.82664,             0.57022,            0.016167,           0.0076347,            0.010711,            0.001684,            0.001684,            0.001684
                  86,            0.023493,            0.015982,           0.0073633,              0.8105,             0.69706,             0.83089,              0.5696,            0.016027,           0.0078112,            0.010073,            0.001585,            0.001585,            0.001585
                  87,            0.024172,            0.016578,           0.0074374,             0.76625,             0.73622,             0.82083,             0.55998,            0.016378,           0.0076193,            0.010884,            0.001486,            0.001486,            0.001486
                  88,            0.022861,            0.016254,           0.0073206,             0.73356,             0.77897,              0.8021,             0.55793,            0.016758,           0.0078314,            0.010672,            0.001387,            0.001387,            0.001387
                  89,            0.022938,            0.015799,           0.0062108,             0.78159,             0.73634,             0.80454,             0.55742,            0.016813,           0.0078246,             0.01056,            0.001288,            0.001288,            0.001288
                  90,            0.023073,            0.017063,           0.0072684,             0.80993,             0.71917,             0.79965,             0.55807,            0.015898,           0.0078424,            0.011384,            0.001189,            0.001189,            0.001189
                  91,            0.024509,            0.016113,           0.0069366,               0.739,             0.71916,             0.78555,             0.55121,            0.015448,           0.0077982,            0.011919,             0.00109,             0.00109,             0.00109
                  92,            0.024126,            0.016722,           0.0055075,             0.77972,              0.7041,             0.78947,             0.54608,            0.015944,           0.0079022,            0.012426,            0.000991,            0.000991,            0.000991
                  93,            0.023739,            0.015562,           0.0065037,             0.80094,             0.69602,             0.79595,              0.5504,             0.01594,           0.0081809,            0.012242,            0.000892,            0.000892,            0.000892
                  94,            0.021899,             0.01552,           0.0060088,             0.77153,             0.72019,              0.7946,             0.55964,            0.015633,           0.0083285,            0.011539,            0.000793,            0.000793,            0.000793
                  95,            0.023509,            0.015155,           0.0068242,             0.69866,              0.8108,             0.81105,             0.56856,            0.015368,           0.0082412,            0.010361,            0.000694,            0.000694,            0.000694
                  96,            0.023079,            0.016368,           0.0055755,             0.78918,             0.73623,             0.80976,             0.57369,            0.015289,           0.0080441,            0.010626,            0.000595,            0.000595,            0.000595
                  97,            0.022003,            0.015883,           0.0056932,             0.80066,             0.72691,             0.79566,               0.561,            0.015365,           0.0080372,             0.01137,            0.000496,            0.000496,            0.000496
                  98,            0.021986,            0.015865,           0.0055163,             0.79283,             0.71933,             0.79059,             0.55379,            0.015521,           0.0080122,            0.011697,            0.000397,            0.000397,            0.000397
                  99,             0.02217,            0.015782,           0.0064567,             0.76081,             0.69943,             0.78567,             0.54708,            0.015645,           0.0080882,            0.012009,            0.000298,            0.000298,            0.000298
